Folks	NNS	folk
that	WDT	that
is	VBZ	be
ultimately	RB	ultimately
unsustainable	JJ	unsustainable
as	IN	as
a	DT	a
system	NN	system
.	SENT	.
I	PP	I
bring	VBP	bring
up	RP	up
an	DT	an
idea	NN	idea
from	IN	from
my	PP$	my
personal	JJ	personal
faith	NN	faith
tradition	NN	tradition
,	,	,
which	WDT	which
is	VBZ	be
the	DT	the
Bahá	NP	<unknown>
'	POS	'
í	NP	<unknown>
Faith	NP	Faith
,	,	,
but	CC	but
rather	RB	rather
than	IN	than
quote	VB	quote
me	PP	me
about	IN	about
it	PP	it
,	,	,
I	PP	I
want	VBP	want
to	TO	to
quote	VB	quote
the	DT	the
great	JJ	great
author	NN	author
Amanda	NP	Amanda
Ripley	NP	Ripley
,	,	,
who	WP	who
wrote	VBD	write
a	DT	a
book	NN	book
called	VBN	call
"	``	"
High	JJ	high
Conflict	NN	conflict
,	,	,
"	''	"
in	IN	in
which	WDT	which
she	PP	she
brought	VBD	bring
out	RP	out
one	CD	one
small	JJ	small
part	NN	part
of	IN	of
the	DT	the
Bahá	NP	<unknown>
'	POS	'
í	NP	<unknown>
tradition	NN	tradition
,	,	,
which	WDT	which
are	VBP	be
Bahá	NP	<unknown>
'	POS	'
í	NP	<unknown>
elections	NNS	election
.	SENT	.
She	PP	she
talks	VBZ	talk
about	RB	about
how	WRB	how
in	IN	in
Bahá	NP	<unknown>
'	POS	'
í	NP	<unknown>
elections	NNS	election
there	RB	there
'	''	'
s	VBG	<unknown>
no	DT	no
clergy	NN	clergy
in	IN	in
the	DT	the
Bahá	NP	<unknown>
'	POS	'
í	NP	<unknown>
faith	NN	faith
.	SENT	.
So	RB	so
Bahá	NP	<unknown>
'	POS	'
ís	NP	ís
elect	NN	elect
a	DT	a
body	NN	body
to	TO	to
govern	VB	govern
each	DT	each
local	JJ	local
area	NN	area
so	IN	so
the	DT	the
Bahá	NP	<unknown>
'	POS	'
ísof	NP	<unknown>
Los	NP	Los
Angeles	NP	Angeles
every	DT	every
year	NN	year
come	VBN	come
together	RB	together
without	IN	without
any	DT	any
electioneering	VBG	electioneer
,	,	,
no	DT	no
campaigning	NN	campaigning
,	,	,
no	DT	no
funds	NNS	fund
,	,	,
no	DT	no
money	NN	money
,	,	,
no	DT	no
one	CD	one
suggesting	VBG	suggest
anyone	NN	anyone
over	IN	over
anyone	NN	anyone
else	RB	else
,	,	,
and	CC	and
meditatively	RB	meditatively
and	CC	and
prayerfully	RB	prayerfully
elect	VB	elect
nine	CD	nine
people	NNS	people
to	TO	to
govern	VB	govern
the	DT	the
affairs	NNS	affair
of	IN	of
that	DT	that
community	NN	community
every	DT	every
year	NN	year
.	SENT	.
And	CC	and
they	PP	they
seek	VBP	seek
out	RP	out
the	DT	the
people	NNS	people
with	IN	with
the	DT	the
most	RBS	most
spiritual	JJ	spiritual
wisdom	NN	wisdom
and	CC	and
the	DT	the
most	JJS	most
selflessness	NN	selflessness
to	TO	to
be	VB	be
public	JJ	public
servants	NNS	servant
.	SENT	.
And	CC	and
my	PP$	my
thought	NN	thought
is	VBZ	be
,	,	,
well	UH	well
,	,	,
we	PP	we
can	MD	can
'	''	'
t	NN	t
really	RB	really
do	VBP	do
that	IN	that
for	IN	for
the	DT	the
United	NP	United
States	NPS	States
.	SENT	.
That	DT	that
seems	VBZ	seem
unrealistic	JJ	unrealistic
.	SENT	.
But	CC	but
what	WP	what
if	IN	if
,	,	,
what	WP	what
if	IN	if
,	,	,
there	EX	there
were	VBD	be
a	DT	a
small	JJ	small
community	NN	community
,	,	,
Pancake	NP	Pancake
Flats	NNS	flat
,	,	,
Colorado	NP	Colorado
,	,	,
that	WDT	that
was	VBD	be
tired	VBN	tire
of	IN	of
all	PDT	all
the	DT	the
divisiveness	NN	divisiveness
and	CC	and
hyper	NN	hyper
aggression	NN	aggression
and	CC	and
financial	JJ	financial
waste	NN	waste
from	IN	from
partisan	JJ	partisan
politics	NNS	politics
,	,	,
and	CC	and
they	PP	they
said	VBD	say
,	,	,
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
do	VB	do
the	DT	the
same	JJ	same
thing	NN	thing
,	,	,
and	CC	and
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
elect	VB	elect
five	CD	five
or	CC	or
seven	CD	seven
